name,abbr,cod,year,deaths
Germany,DE,Mental and behavioural disorders (F00-F99),2015.0,44635
Germany,DE,Diseases of the circulatory system (I00-I99),2015.0,357319
Germany,DE,Diseases of the respiratory system (J00-J99),2015.0,68402
Germany,DE,Diseases of the digestive system (K00-K93),2015.0,39946
Germany,DE,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,1448
Germany,DE,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,3782
Germany,DE,Diseases of the genitourinary system (N00-N99),2015.0,24923
Germany,DE,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,25
Germany,DE,Certain conditions originating in the perinatal period (P00-P96),2015.0,1327
Germany,DE,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,1826
Germany,DE,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,27966
Estonia,EE,Malignant neoplasms (C00-C97),2015.0,3853
Estonia,EE,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,161
Estonia,EE,Mental and behavioural disorders (F00-F99),2015.0,107
Estonia,EE,Diseases of the circulatory system (I00-I99),2015.0,8052
Estonia,EE,Diseases of the respiratory system (J00-J99),2015.0,540
Estonia,EE,Diseases of the digestive system (K00-K93),2015.0,629
Estonia,EE,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,22
Estonia,EE,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,43
Estonia,EE,Diseases of the genitourinary system (N00-N99),2015.0,132
Estonia,EE,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,0
Estonia,EE,Certain conditions originating in the perinatal period (P00-P96),2015.0,16
Estonia,EE,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,20
Estonia,EE,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,317
Ireland,IE,Malignant neoplasms (C00-C97),2015.0,8877
Ireland,IE,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,705
Ireland,IE,Mental and behavioural disorders (F00-F99),2015.0,1557
Ireland,IE,Diseases of the circulatory system (I00-I99),2015.0,9371
Ireland,IE,Diseases of the respiratory system (J00-J99),2015.0,3865
Ireland,IE,Diseases of the digestive system (K00-K93),2015.0,965
Ireland,IE,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,64
Ireland,IE,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,196
Ireland,IE,Diseases of the genitourinary system (N00-N99),2015.0,617
Ireland,IE,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,1
Ireland,IE,Certain conditions originating in the perinatal period (P00-P96),2015.0,103
Ireland,IE,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,171
Ireland,IE,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,112
Greece,EL,Malignant neoplasms (C00-C97),2015.0,29686
Greece,EL,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,2036
Greece,EL,Mental and behavioural disorders (F00-F99),2015.0,1159
Greece,EL,Diseases of the circulatory system (I00-I99),2015.0,46412
Greece,EL,Diseases of the respiratory system (J00-J99),2015.0,14835
Greece,EL,Diseases of the digestive system (K00-K93),2015.0,3311
Greece,EL,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,50
Greece,EL,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,233
Greece,EL,Diseases of the genitourinary system (N00-N99),2015.0,3663
Greece,EL,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,5
Greece,EL,Certain conditions originating in the perinatal period (P00-P96),2015.0,195
Greece,EL,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,182
Greece,EL,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,7766
Spain,ES,Malignant neoplasms (C00-C97),2015.0,107195
Spain,ES,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,14065
Spain,ES,Mental and behavioural disorders (F00-F99),2015.0,21333
Spain,ES,Diseases of the circulatory system (I00-I99),2015.0,124197
Spain,ES,Diseases of the respiratory system (J00-J99),2015.0,51848
Spain,ES,Diseases of the digestive system (K00-K93),2015.0,20360
Spain,ES,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,1563
Spain,ES,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,4148
Spain,ES,Diseases of the genitourinary system (N00-N99),2015.0,12169
Spain,ES,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,15
Spain,ES,Certain conditions originating in the perinatal period (P00-P96),2015.0,674
Spain,ES,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,802
Spain,ES,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,9504
France,FR,Malignant neoplasms (C00-C97),2015.0,162109
France,FR,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,21663
France,FR,Mental and behavioural disorders (F00-F99),2015.0,25425
France,FR,Diseases of the circulatory system (I00-I99),2015.0,145271
France,FR,Diseases of the respiratory system (J00-J99),2015.0,42806
France,FR,Diseases of the digestive system (K00-K93),2015.0,24069
France,FR,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,1380
France,FR,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,4213
France,FR,Diseases of the genitourinary system (N00-N99),2015.0,10105
France,FR,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,42
France,FR,Certain conditions originating in the perinatal period (P00-P96),2015.0,1579
France,FR,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,1715
France,FR,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,54905
Croatia,HR,Malignant neoplasms (C00-C97),2015.0,14056
Croatia,HR,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,1709
Croatia,HR,Mental and behavioural disorders (F00-F99),2015.0,1345
Croatia,HR,Diseases of the circulatory system (I00-I99),2015.0,25988
Croatia,HR,Diseases of the respiratory system (J00-J99),2015.0,2683
Croatia,HR,Diseases of the digestive system (K00-K93),2015.0,2177
Croatia,HR,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,9
Croatia,HR,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,132
Croatia,HR,Diseases of the genitourinary system (N00-N99),2015.0,1076
Croatia,HR,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,1
Croatia,HR,Certain conditions originating in the perinatal period (P00-P96),2015.0,94
Croatia,HR,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,115
Croatia,HR,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,506
Italy,IT,Malignant neoplasms (C00-C97),2015.0,170339
Italy,IT,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,29258
Italy,IT,Mental and behavioural disorders (F00-F99),2015.0,21397
Italy,IT,Diseases of the circulatory system (I00-I99),2015.0,239513
Italy,IT,Diseases of the respiratory system (J00-J99),2015.0,48518
Italy,IT,Diseases of the digestive system (K00-K93),2015.0,23286
Italy,IT,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,1270
Italy,IT,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,3472
Italy,IT,Diseases of the genitourinary system (N00-N99),2015.0,13618
Italy,IT,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,16
Italy,IT,Certain conditions originating in the perinatal period (P00-P96),2015.0,857
Italy,IT,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,1394
Italy,IT,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,13476
Cyprus,CY,Malignant neoplasms (C00-C97),2015.0,1327
Cyprus,CY,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,450
Cyprus,CY,Mental and behavioural disorders (F00-F99),2015.0,150
Cyprus,CY,Diseases of the circulatory system (I00-I99),2015.0,2072
Cyprus,CY,Diseases of the respiratory system (J00-J99),2015.0,548
Cyprus,CY,Diseases of the digestive system (K00-K93),2015.0,193
Cyprus,CY,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,21
Cyprus,CY,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,28
Cyprus,CY,Diseases of the genitourinary system (N00-N99),2015.0,217
Cyprus,CY,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,0
Cyprus,CY,Certain conditions originating in the perinatal period (P00-P96),2015.0,17
Cyprus,CY,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,14
Cyprus,CY,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,177
Latvia,LV,Malignant neoplasms (C00-C97),2015.0,5878
Latvia,LV,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,507
Latvia,LV,Mental and behavioural disorders (F00-F99),2015.0,410
Latvia,LV,Diseases of the circulatory system (I00-I99),2015.0,16166
Latvia,LV,Diseases of the respiratory system (J00-J99),2015.0,713
Latvia,LV,Diseases of the digestive system (K00-K93),2015.0,1017
Latvia,LV,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,57
Latvia,LV,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,92
Latvia,LV,Diseases of the genitourinary system (N00-N99),2015.0,389
Latvia,LV,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,12
Latvia,LV,Certain conditions originating in the perinatal period (P00-P96),2015.0,43
Latvia,LV,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,52
Latvia,LV,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,312
Lithuania,LT,Malignant neoplasms (C00-C97),2015.0,8290
Lithuania,LT,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,353
Lithuania,LT,Mental and behavioural disorders (F00-F99),2015.0,121
Lithuania,LT,Diseases of the circulatory system (I00-I99),2015.0,23519
Lithuania,LT,Diseases of the respiratory system (J00-J99),2015.0,1352
Lithuania,LT,Diseases of the digestive system (K00-K93),2015.0,2087
Lithuania,LT,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,32
Lithuania,LT,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,84
Lithuania,LT,Diseases of the genitourinary system (N00-N99),2015.0,357
Lithuania,LT,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,3
Lithuania,LT,Certain conditions originating in the perinatal period (P00-P96),2015.0,45
Lithuania,LT,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,82
Lithuania,LT,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,246
Luxembourg,LU,Malignant neoplasms (C00-C97),2015.0,1061
Luxembourg,LU,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,123
Luxembourg,LU,Mental and behavioural disorders (F00-F99),2015.0,231
Luxembourg,LU,Diseases of the circulatory system (I00-I99),2015.0,1187
Luxembourg,LU,Diseases of the respiratory system (J00-J99),2015.0,323
Luxembourg,LU,Diseases of the digestive system (K00-K93),2015.0,168
Luxembourg,LU,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,4
Luxembourg,LU,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,26
Luxembourg,LU,Diseases of the genitourinary system (N00-N99),2015.0,72
Luxembourg,LU,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,0
Luxembourg,LU,Certain conditions originating in the perinatal period (P00-P96),2015.0,6
Luxembourg,LU,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,9
Luxembourg,LU,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,121
Hungary,HU,Malignant neoplasms (C00-C97),2015.0,32792
Hungary,HU,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,3130
Hungary,HU,Mental and behavioural disorders (F00-F99),2015.0,3557
Hungary,HU,Diseases of the circulatory system (I00-I99),2015.0,65493
Hungary,HU,Diseases of the respiratory system (J00-J99),2015.0,8503
Hungary,HU,Diseases of the digestive system (K00-K93),2015.0,6362
Hungary,HU,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,96
Hungary,HU,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,462
Hungary,HU,Diseases of the genitourinary system (N00-N99),2015.0,1017
Hungary,HU,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,5
Hungary,HU,Certain conditions originating in the perinatal period (P00-P96),2015.0,215
Hungary,HU,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,307
Hungary,HU,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,188
Malta,MT,Malignant neoplasms (C00-C97),2015.0,923
Malta,MT,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,185
Malta,MT,Mental and behavioural disorders (F00-F99),2015.0,139
Malta,MT,Diseases of the circulatory system (I00-I99),2015.0,1378
Malta,MT,Diseases of the respiratory system (J00-J99),2015.0,354
Malta,MT,Diseases of the digestive system (K00-K93),2015.0,100
Malta,MT,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,19
Malta,MT,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,17
Malta,MT,Diseases of the genitourinary system (N00-N99),2015.0,84
Malta,MT,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,0
Malta,MT,Certain conditions originating in the perinatal period (P00-P96),2015.0,12
Malta,MT,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,14
Malta,MT,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,14
Netherlands,NL,Malignant neoplasms (C00-C97),2015.0,44328
Netherlands,NL,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,3682
Netherlands,NL,Mental and behavioural disorders (F00-F99),2015.0,11421
Netherlands,NL,Diseases of the circulatory system (I00-I99),2015.0,39616
Netherlands,NL,Diseases of the respiratory system (J00-J99),2015.0,12709
Netherlands,NL,Diseases of the digestive system (K00-K93),2015.0,4557
Netherlands,NL,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,251
Netherlands,NL,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,1047
Netherlands,NL,Diseases of the genitourinary system (N00-N99),2015.0,3342
Netherlands,NL,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,7
Netherlands,NL,Certain conditions originating in the perinatal period (P00-P96),2015.0,349
Netherlands,NL,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,442
Netherlands,NL,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,3830
Austria,AT,Malignant neoplasms (C00-C97),2015.0,20594
Austria,AT,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,4288
Austria,AT,Mental and behavioural disorders (F00-F99),2015.0,1791
Austria,AT,Diseases of the circulatory system (I00-I99),2015.0,36055
Austria,AT,Diseases of the respiratory system (J00-J99),2015.0,4508
Austria,AT,Diseases of the digestive system (K00-K93),2015.0,2922
Austria,AT,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,55
Austria,AT,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,271
Austria,AT,Diseases of the genitourinary system (N00-N99),2015.0,1714
Austria,AT,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,4
Austria,AT,Certain conditions originating in the perinatal period (P00-P96),2015.0,141
Austria,AT,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,267
Austria,AT,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,933
Poland,PL,Malignant neoplasms (C00-C97),2015.0,100664
Poland,PL,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,8647
Poland,PL,Mental and behavioural disorders (F00-F99),2015.0,2220
Poland,PL,Diseases of the circulatory system (I00-I99),2015.0,180643
Poland,PL,Diseases of the respiratory system (J00-J99),2015.0,24307
Poland,PL,Diseases of the digestive system (K00-K93),2015.0,14777
Poland,PL,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,249
Poland,PL,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,534
Poland,PL,Diseases of the genitourinary system (N00-N99),2015.0,3028
Poland,PL,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,6
Poland,PL,Certain conditions originating in the perinatal period (P00-P96),2015.0,787
Poland,PL,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,834
Poland,PL,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,26475
Portugal,PT,Malignant neoplasms (C00-C97),2015.0,26647
Portugal,PT,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,5766
Portugal,PT,Mental and behavioural disorders (F00-F99),2015.0,3267
Portugal,PT,Diseases of the circulatory system (I00-I99),2015.0,32443
Portugal,PT,Diseases of the respiratory system (J00-J99),2015.0,13470
Portugal,PT,Diseases of the digestive system (K00-K93),2015.0,4559
Portugal,PT,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,134
Portugal,PT,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,464
Portugal,PT,Diseases of the genitourinary system (N00-N99),2015.0,3243
Portugal,PT,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,6
Portugal,PT,Certain conditions originating in the perinatal period (P00-P96),2015.0,151
Portugal,PT,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,197
Portugal,PT,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,6914
Romania,RO,Malignant neoplasms (C00-C97),2015.0,51007
Romania,RO,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,2667
Romania,RO,Mental and behavioural disorders (F00-F99),2015.0,320
Romania,RO,Diseases of the circulatory system (I00-I99),2015.0,153808
Romania,RO,Diseases of the respiratory system (J00-J99),2015.0,14998
Romania,RO,Diseases of the digestive system (K00-K93),2015.0,14375
Romania,RO,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,82
Romania,RO,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,45
Romania,RO,Diseases of the genitourinary system (N00-N99),2015.0,3455
Romania,RO,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,27
Romania,RO,Certain conditions originating in the perinatal period (P00-P96),2015.0,548
Romania,RO,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,423
Romania,RO,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,594
Slovenia,SI,Malignant neoplasms (C00-C97),2015.0,6228
Slovenia,SI,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,390
Slovenia,SI,Mental and behavioural disorders (F00-F99),2015.0,275
Slovenia,SI,Diseases of the circulatory system (I00-I99),2015.0,8087
Slovenia,SI,Diseases of the respiratory system (J00-J99),2015.0,1319
Slovenia,SI,Diseases of the digestive system (K00-K93),2015.0,890
Slovenia,SI,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,14
Slovenia,SI,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,72
Slovenia,SI,Diseases of the genitourinary system (N00-N99),2015.0,315
Slovenia,SI,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,1
Slovenia,SI,Certain conditions originating in the perinatal period (P00-P96),2015.0,18
Slovenia,SI,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,26
Slovenia,SI,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,5
Slovakia,SK,Malignant neoplasms (C00-C97),2015.0,13643
Slovakia,SK,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,975
Slovakia,SK,Mental and behavioural disorders (F00-F99),2015.0,697
Slovakia,SK,Diseases of the circulatory system (I00-I99),2015.0,23985
Slovakia,SK,Diseases of the respiratory system (J00-J99),2015.0,3450
Slovakia,SK,Diseases of the digestive system (K00-K93),2015.0,3010
Slovakia,SK,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,143
Slovakia,SK,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,67
Slovakia,SK,Diseases of the genitourinary system (N00-N99),2015.0,836
Slovakia,SK,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,1
Slovakia,SK,Certain conditions originating in the perinatal period (P00-P96),2015.0,122
Slovakia,SK,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,156
Slovakia,SK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,1094
Finland,FI,Malignant neoplasms (C00-C97),2015.0,12170
Finland,FI,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,637
Finland,FI,Mental and behavioural disorders (F00-F99),2015.0,2353
Finland,FI,Diseases of the circulatory system (I00-I99),2015.0,19419
Finland,FI,Diseases of the respiratory system (J00-J99),2015.0,1936
Finland,FI,Diseases of the digestive system (K00-K93),2015.0,2217
Finland,FI,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,28
Finland,FI,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,211
Finland,FI,Diseases of the genitourinary system (N00-N99),2015.0,282
Finland,FI,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,2
Finland,FI,Certain conditions originating in the perinatal period (P00-P96),2015.0,53
Finland,FI,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,161
Finland,FI,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,457
Sweden,SE,Malignant neoplasms (C00-C97),2015.0,22431
Sweden,SE,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,2537
Sweden,SE,Mental and behavioural disorders (F00-F99),2015.0,6230
Sweden,SE,Diseases of the circulatory system (I00-I99),2015.0,31961
Sweden,SE,Diseases of the respiratory system (J00-J99),2015.0,6371
Sweden,SE,Diseases of the digestive system (K00-K93),2015.0,2860
Sweden,SE,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,185
Sweden,SE,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,452
Sweden,SE,Diseases of the genitourinary system (N00-N99),2015.0,1241
Sweden,SE,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,2
Sweden,SE,Certain conditions originating in the perinatal period (P00-P96),2015.0,150
Sweden,SE,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,215
Sweden,SE,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,2563
Iceland,IS,Malignant neoplasms (C00-C97),2015.0,597
Iceland,IS,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,37
Iceland,IS,Mental and behavioural disorders (F00-F99),2015.0,78
Iceland,IS,Diseases of the circulatory system (I00-I99),2015.0,738
Iceland,IS,Diseases of the respiratory system (J00-J99),2015.0,164
Iceland,IS,Diseases of the digestive system (K00-K93),2015.0,79
Iceland,IS,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,4
